name,price
Сухой корм Royal Canin для собак всех пород,25.99
Натуральный корм Orijen для средних пород,30.99
Супер-премиум корм Eukanuba для щенков,22.99
Лечебный корм Hill's Prescription Diet для собак с аллергией,35.99
Органический корм Castor & Pollux Organix для взрослых собак,28.99

Сухой Gandorf корм для котят,20.99
Натуральный Orijen корм для взрослых кошек,30.99
Лечебный Hill's Prescription Diet корм для кошек с аллергией,35.99
Профессиональный Purina Pro Plan Savor корм для котят,26.99
Корм Halo Holistic Seafood Medley для кошек всех пород,27.99

Сухой Yukii корм для кроликов, 12.99
Лакомства для хомяков Vitakraft, 7.99
Сухой корм Kaytee Forti-Diet для морских свинок, 15.99
Влажный корм Oxbow Essentials для шиншилл, 14.99

Сухой Tetra Wafer Mix корм для сомов аквариумных, 10.99
Сухой API Tropical Pellets корм для тропических рыб, 12.99
Леденцы Tetra FunTips корм для золотых рыб, 5.99

Ортопедическая кровать PuppyDreams для щенков, 28.99
Кошачья лежанка с вибрацией VibroCats для расслабления, 36.99
Лежанка с массажем MassageRelax для собак всех размеров, 49.99
Подогреваемая кошачья лежанка SnuggleWarm, 33.99

Аквариум Tetra AquaArt для рыб, 40.99
Клетка Habitrail OVO для хомяков, 22.99
Клетка Ferplast для шиншилл, 75.99
